76, [s0.0_00, s0.0_10, s0.0_01, s0.1_00, s0.1_10, s0.1_01, s0.2_00, s0.2_10, s0.2_01, s0.3_00, s0.3_10, s0.3_01, s0.4_00, s0.4_10, s0.4_01, s1.0_00, s1.0_10, s1.0_01, s1.1_00, s1.1_10, s1.1_01, s1.2_00, s1.2_10, s1.2_01, s1.3_00, s1.3_10, s1.3_01, s1.4_00, s1.4_10, s1.4_01, s2.0_00, s2.0_10, s2.0_01, s2.1_00, s2.1_10, s2.1_01, s2.2_00, s2.2_10, s2.2_01, s2.3_00, s2.3_10, s2.3_01, s2.4_00, s2.4_10, s2.4_01, s3.0_00, s3.0_10, s3.0_01, s3.1_00, s3.1_10, s3.1_01, s3.2_00, s3.2_10, s3.2_01, s3.3_00, s3.3_10, s3.3_01, s3.4_00, s3.4_10, s3.4_01, s4.0_00, s4.0_10, s4.0_01, s4.1_00, s4.1_10, s4.1_01, s4.2_00, s4.2_10, s4.2_01, s4.3_00, s4.3_10, s4.3_01, s4.4_00, s4.4_10, s4.4_01, exit]
1, [e1]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,15 -> 1
0,1,0 -> 1
0,2,3 -> 1
0,3,0 -> 1
1,0,16 -> 1
1,1,1 -> 1
1,2,4 -> 1
1,3,1 -> 1
2,0,17 -> 1
2,1,2 -> 1
2,2,5 -> 1
2,3,2 -> 1
0,4,0 -> 1
1,4,1 -> 1
2,4,2 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,0,18 -> 1
3,1,3 -> 1
3,2,6 -> 1
3,3,0 -> 1
4,0,19 -> 1
4,1,4 -> 1
4,2,7 -> 1
4,3,1 -> 1
5,0,20 -> 1
5,1,5 -> 1
5,2,8 -> 1
5,3,2 -> 1
3,4,3 -> 1
4,4,4 -> 1
5,4,5 -> 1
3,5,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
3,6,3 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,0,21 -> 1
6,1,6 -> 1
6,2,9 -> 1
6,3,3 -> 1
7,0,22 -> 1
7,1,7 -> 1
7,2,10 -> 1
7,3,4 -> 1
8,0,23 -> 1
8,1,8 -> 1
8,2,11 -> 1
8,3,5 -> 1
6,4,6 -> 1
7,4,7 -> 1
8,4,8 -> 1
6,5,6 -> 1
7,5,7 -> 1
8,5,8 -> 1
6,6,6 -> 1
7,6,7 -> 1
8,6,8 -> 1
9,0,24 -> 1
9,1,9 -> 1
9,2,12 -> 1
9,3,6 -> 1
10,0,25 -> 1
10,1,10 -> 1
10,2,13 -> 1
10,3,7 -> 1
11,0,26 -> 1
11,1,11 -> 1
11,2,14 -> 1
11,3,8 -> 1
9,4,9 -> 1
10,4,10 -> 1
11,4,11 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,0,27 -> 1
12,1,12 -> 1
12,2,75 -> 1
12,3,9 -> 1
13,0,28 -> 1
13,1,13 -> 1
13,2,75 -> 1
13,3,10 -> 1
14,0,29 -> 1
14,1,14 -> 1
14,2,75 -> 1
14,3,11 -> 1
12,4,12 -> 1
13,4,13 -> 1
14,4,14 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,0,30 -> 1
15,1,0 -> 1
15,2,18 -> 1
15,3,15 -> 1
16,0,31 -> 1
16,1,1 -> 1
16,2,19 -> 1
16,3,16 -> 1
17,0,32 -> 1
17,1,2 -> 1
17,2,20 -> 1
17,3,17 -> 1
15,4,15 -> 1
16,4,16 -> 1
17,4,17 -> 1
15,5,15 -> 1
16,5,16 -> 1
17,5,17 -> 1
15,6,15 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,0,33 -> 1
18,1,3 -> 1
18,2,21 -> 1
18,3,15 -> 1
19,0,34 -> 1
19,1,4 -> 1
19,2,22 -> 1
19,3,16 -> 1
20,0,35 -> 1
20,1,5 -> 1
20,2,23 -> 1
20,3,17 -> 1
18,4,18 -> 1
19,4,19 -> 1
20,4,20 -> 1
18,5,18 -> 1
19,5,19 -> 1
20,5,20 -> 1
18,6,18 -> 1
19,6,19 -> 1
20,6,20 -> 1
21,0,36 -> 1
21,1,6 -> 1
21,2,24 -> 1
21,3,18 -> 1
22,0,37 -> 1
22,1,7 -> 1
22,2,25 -> 1
22,3,19 -> 1
23,0,38 -> 1
23,1,8 -> 1
23,2,26 -> 1
23,3,20 -> 1
21,4,21 -> 1
22,4,22 -> 1
23,4,23 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
24,0,39 -> 1
24,1,9 -> 1
24,2,27 -> 1
24,3,21 -> 1
25,0,40 -> 1
25,1,10 -> 1
25,2,28 -> 1
25,3,22 -> 1
26,0,41 -> 1
26,1,11 -> 1
26,2,29 -> 1
26,3,23 -> 1
24,4,24 -> 1
25,4,25 -> 1
26,4,26 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,0,42 -> 1
27,1,12 -> 1
27,2,75 -> 1
27,3,24 -> 1
28,0,43 -> 1
28,1,13 -> 1
28,2,75 -> 1
28,3,25 -> 1
29,0,44 -> 1
29,1,14 -> 1
29,2,75 -> 1
29,3,26 -> 1
27,4,27 -> 1
28,4,28 -> 1
29,4,29 -> 1
27,5,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
27,6,27 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,0,45 -> 1
30,1,15 -> 1
30,2,33 -> 1
30,3,30 -> 1
31,0,46 -> 1
31,1,16 -> 1
31,2,34 -> 1
31,3,31 -> 1
32,0,47 -> 1
32,1,17 -> 1
32,2,35 -> 1
32,3,32 -> 1
30,4,30 -> 1
31,4,31 -> 1
32,4,32 -> 1
30,5,30 -> 1
31,5,31 -> 1
32,5,32 -> 1
30,6,30 -> 1
31,6,31 -> 1
32,6,32 -> 1
33,0,48 -> 1
33,1,18 -> 1
33,2,36 -> 1
33,3,30 -> 1
34,0,49 -> 1
34,1,19 -> 1
34,2,37 -> 1
34,3,31 -> 1
35,0,50 -> 1
35,1,20 -> 1
35,2,38 -> 1
35,3,32 -> 1
33,4,33 -> 1
34,4,34 -> 1
35,4,35 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
36,0,51 -> 1
36,1,21 -> 1
36,2,39 -> 1
36,3,33 -> 1
37,0,52 -> 1
37,1,22 -> 1
37,2,40 -> 1
37,3,34 -> 1
38,0,53 -> 1
38,1,23 -> 1
38,2,41 -> 1
38,3,35 -> 1
36,4,36 -> 1
37,4,36 -> 1
38,4,38 -> 1
36,5,36 -> 1
37,5,37 -> 1
38,5,38 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,6,38 -> 1
39,0,54 -> 1
39,1,24 -> 1
39,2,42 -> 1
39,3,36 -> 1
40,0,55 -> 1
40,1,25 -> 1
40,2,43 -> 1
40,3,37 -> 1
41,0,56 -> 1
41,1,26 -> 1
41,2,44 -> 1
41,3,38 -> 1
39,4,39 -> 1
40,4,40 -> 1
41,4,41 -> 1
39,5,39 -> 1
40,5,40 -> 1
41,5,41 -> 1
39,6,39 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,0,57 -> 1
42,1,27 -> 1
42,2,75 -> 1
42,3,39 -> 1
43,0,58 -> 1
43,1,28 -> 1
43,2,75 -> 1
43,3,40 -> 1
44,0,59 -> 1
44,1,29 -> 1
44,2,75 -> 1
44,3,41 -> 1
42,4,42 -> 1
43,4,43 -> 1
44,4,44 -> 1
42,5,42 -> 1
43,5,43 -> 1
44,5,44 -> 1
42,6,42 -> 1
43,6,43 -> 1
44,6,44 -> 1
45,0,60 -> 1
45,1,30 -> 1
45,2,48 -> 1
45,3,45 -> 1
46,0,61 -> 1
46,1,31 -> 1
46,2,49 -> 1
46,3,46 -> 1
47,0,62 -> 1
47,1,32 -> 1
47,2,50 -> 1
47,3,47 -> 1
45,4,45 -> 1
46,4,46 -> 1
47,4,47 -> 1
45,5,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
45,6,45 -> 1
46,6,46 -> 1
47,6,47 -> 1
48,0,63 -> 1
48,1,33 -> 1
48,2,51 -> 1
48,3,45 -> 1
49,0,64 -> 1
49,1,34 -> 1
49,2,52 -> 1
49,3,46 -> 1
50,0,65 -> 1
50,1,35 -> 1
50,2,53 -> 1
50,3,47 -> 1
48,4,48 -> 1
49,4,49 -> 1
50,4,48 -> 1
48,5,48 -> 1
49,5,49 -> 1
50,5,50 -> 1
48,6,48 -> 1
49,6,49 -> 1
50,6,50 -> 1
51,0,66 -> 1
51,1,36 -> 1
51,2,54 -> 1
51,3,48 -> 1
52,0,67 -> 1
52,1,37 -> 1
52,2,55 -> 1
52,3,49 -> 1
53,0,68 -> 1
53,1,38 -> 1
53,2,56 -> 1
53,3,50 -> 1
51,4,51 -> 1
52,4,52 -> 1
53,4,53 -> 1
51,5,51 -> 1
52,5,52 -> 1
53,5,53 -> 1
51,6,51 -> 1
52,6,52 -> 1
53,6,53 -> 1
54,0,69 -> 1
54,1,39 -> 1
54,2,57 -> 1
54,3,51 -> 1
55,0,70 -> 1
55,1,40 -> 1
55,2,58 -> 1
55,3,52 -> 1
56,0,71 -> 1
56,1,41 -> 1
56,2,59 -> 1
56,3,53 -> 1
54,4,54 -> 1
55,4,55 -> 1
56,4,56 -> 1
54,5,54 -> 1
55,5,55 -> 1
56,5,56 -> 1
54,6,54 -> 1
55,6,55 -> 1
56,6,56 -> 1
57,0,72 -> 1
57,1,42 -> 1
57,2,75 -> 1
57,3,54 -> 1
58,0,73 -> 1
58,1,43 -> 1
58,2,75 -> 1
58,3,55 -> 1
59,0,74 -> 1
59,1,44 -> 1
59,2,75 -> 1
59,3,56 -> 1
57,4,57 -> 1
58,4,58 -> 1
59,4,59 -> 1
57,5,57 -> 1
58,5,58 -> 1
59,5,59 -> 1
57,6,57 -> 1
58,6,58 -> 1
59,6,59 -> 1
60,0,60 -> 1
60,1,45 -> 1
60,2,63 -> 1
60,3,60 -> 1
61,0,61 -> 1
61,1,46 -> 1
61,2,64 -> 1
61,3,61 -> 1
62,0,62 -> 1
62,1,47 -> 1
62,2,65 -> 1
62,3,62 -> 1
60,4,60 -> 1
61,4,61 -> 1
62,4,62 -> 1
60,5,60 -> 1
61,5,61 -> 1
62,5,62 -> 1
60,6,60 -> 1
61,6,61 -> 1
62,6,62 -> 1
63,0,63 -> 1
63,1,48 -> 1
63,2,66 -> 1
63,3,60 -> 1
64,0,64 -> 1
64,1,49 -> 1
64,2,67 -> 1
64,3,61 -> 1
65,0,65 -> 1
65,1,50 -> 1
65,2,68 -> 1
65,3,62 -> 1
63,4,63 -> 1
64,4,64 -> 1
65,4,65 -> 1
63,5,63 -> 1
64,5,64 -> 1
65,5,65 -> 1
63,6,63 -> 1
64,6,64 -> 1
65,6,65 -> 1
66,0,66 -> 1
66,1,51 -> 1
66,2,69 -> 1
66,3,63 -> 1
67,0,67 -> 1
67,1,52 -> 1
67,2,70 -> 1
67,3,64 -> 1
68,0,68 -> 1
68,1,53 -> 1
68,2,71 -> 1
68,3,65 -> 1
66,4,66 -> 1
67,4,67 -> 1
68,4,68 -> 1
66,5,66 -> 1
67,5,67 -> 1
68,5,68 -> 1
66,6,66 -> 1
67,6,67 -> 1
68,6,68 -> 1
69,0,69 -> 1
69,1,54 -> 1
69,2,72 -> 1
69,3,66 -> 1
70,0,70 -> 1
70,1,55 -> 1
70,2,73 -> 1
70,3,67 -> 1
71,0,71 -> 1
71,1,56 -> 1
71,2,74 -> 1
71,3,68 -> 1
69,4,69 -> 1
70,4,70 -> 1
71,4,71 -> 1
69,5,69 -> 1
70,5,70 -> 1
71,5,71 -> 1
69,6,69 -> 1
70,6,70 -> 1
71,6,71 -> 1
72,0,72 -> 1
72,1,57 -> 1
72,2,75 -> 1
72,3,69 -> 1
73,0,73 -> 1
73,1,58 -> 1
73,2,75 -> 1
73,3,70 -> 1
74,0,74 -> 1
74,1,59 -> 1
74,2,75 -> 1
74,3,71 -> 1
72,4,72 -> 1
73,4,73 -> 1
74,4,74 -> 1
72,5,72 -> 1
73,5,73 -> 1
74,5,74 -> 1
72,6,72 -> 1
73,6,73 -> 1
74,6,74 -> 1
75,_,75 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
0,48,2 -> 1
0,49,2 -> 1
0,50,2 -> 1
0,51,2 -> 1
0,52,2 -> 1
0,53,2 -> 1
0,54,2 -> 1
0,55,2 -> 1
0,56,2 -> 1
0,57,2 -> 1
0,58,2 -> 1
0,59,2 -> 1
0,60,2 -> 1
0,61,2 -> 1
0,62,2 -> 1
0,63,2 -> 1
0,64,2 -> 1
0,65,2 -> 1
0,66,2 -> 1
0,67,2 -> 1
0,68,2 -> 1
0,69,2 -> 1
0,70,2 -> 1
0,71,2 -> 1
0,72,2 -> 1
0,73,2 -> 1
0,74,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
1,48,2 -> 1
1,49,2 -> 1
1,50,2 -> 1
1,51,2 -> 1
1,52,2 -> 1
1,53,2 -> 1
1,54,2 -> 1
1,55,2 -> 1
1,56,2 -> 1
1,57,2 -> 1
1,58,2 -> 1
1,59,2 -> 1
1,60,2 -> 1
1,61,2 -> 1
1,62,2 -> 1
1,63,2 -> 1
1,64,2 -> 1
1,65,2 -> 1
1,66,2 -> 1
1,67,2 -> 1
1,68,2 -> 1
1,69,2 -> 1
1,70,2 -> 1
1,71,2 -> 1
1,72,2 -> 1
1,73,2 -> 1
1,74,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
2,48,2 -> 1
2,49,2 -> 1
2,50,2 -> 1
2,51,2 -> 1
2,52,2 -> 1
2,53,2 -> 1
2,54,2 -> 1
2,55,2 -> 1
2,56,2 -> 1
2,57,2 -> 1
2,58,2 -> 1
2,59,2 -> 1
2,60,2 -> 1
2,61,2 -> 1
2,62,2 -> 1
2,63,2 -> 1
2,64,2 -> 1
2,65,2 -> 1
2,66,2 -> 1
2,67,2 -> 1
2,68,2 -> 1
2,69,2 -> 1
2,70,2 -> 1
2,71,2 -> 1
2,72,2 -> 1
2,73,2 -> 1
2,74,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
